Entity,Code,Day,p_avg_all_ages,143222-annotations
Albania,ALB,2020-01-31,-10.65,
Albania,ALB,2020-02-29,2.17,
Albania,ALB,2020-03-31,0.62,
Albania,ALB,2020-04-30,3.23,
Albania,ALB,2020-05-31,6.15,
Albania,ALB,2020-06-30,9.3,
Albania,ALB,2020-07-31,22.73,
Albania,ALB,2020-08-31,44.95,
Albania,ALB,2020-09-30,29.39,
Albania,ALB,2020-10-31,44.36,
Albania,ALB,2020-11-30,118.46,
Albania,ALB,2020-12-31,53.58,
Albania,ALB,2021-01-31,21.62,
Albania,ALB,2021-02-28,89.25,
Albania,ALB,2021-03-31,48.53,
Albania,ALB,2021-04-30,37.67,
Albania,ALB,2021-05-31,9.62,
Albania,ALB,2021-06-30,-7.29,
Andorra,AND,2020-01-31,3.03,
Andorra,AND,2020-02-29,40.15,
Andorra,AND,2020-03-31,29.87,
Andorra,AND,2020-04-30,163.16,
Andorra,AND,2020-05-31,80,
Andorra,AND,2020-06-30,7.44,
Andorra,AND,2020-07-31,12.4,
Andorra,AND,2020-08-31,-19.49,
Andorra,AND,2020-09-30,14.41,
Andorra,AND,2020-10-31,97.67,
Andorra,AND,2020-11-30,-22.76,
Andorra,AND,2020-12-31,38.51,
Antigua and Barbuda,ATG,2020-01-31,19.62,
Antigua and Barbuda,ATG,2020-02-29,-6.75,
Antigua and Barbuda,ATG,2020-03-31,9.49,
Antigua and Barbuda,ATG,2020-04-30,10.86,
Antigua and Barbuda,ATG,2020-05-31,13.04,
Antigua and Barbuda,ATG,2020-06-30,-8.7,
Antigua and Barbuda,ATG,2020-07-31,9.52,
Antigua and Barbuda,ATG,2020-08-31,-18.52,
Antigua and Barbuda,ATG,2020-09-30,-5.06,
Antigua and Barbuda,ATG,2020-10-31,-2.72,
Antigua and Barbuda,ATG,2020-11-30,2.94,
Antigua and Barbuda,ATG,2020-12-31,-11.11,
Argentina,ARG,2020-01-31,-3.26,
Argentina,ARG,2020-02-29,1.63,
Argentina,ARG,2020-03-31,-1.39,
Argentina,ARG,2020-04-30,-3.82,
Argentina,ARG,2020-05-31,-6.26,
Argentina,ARG,2020-06-30,-12.89,
Argentina,ARG,2020-07-31,4.6,
Argentina,ARG,2020-08-31,16.26,
Argentina,ARG,2020-09-30,36.65,
Argentina,ARG,2020-10-31,51.48,
Argentina,ARG,2020-11-30,39.59,
Argentina,ARG,2020-12-31,28.11,
Armenia,ARM,2020-01-31,-5.89,
Armenia,ARM,2020-02-29,2.26,
Armenia,ARM,2020-03-31,-6.6,
Armenia,ARM,2020-04-30,-2.9,
Armenia,ARM,2020-05-31,-6.72,
Armenia,ARM,2020-06-30,38.05,
Armenia,ARM,2020-07-31,26.37,
Armenia,ARM,2020-08-31,1.09,
Armenia,ARM,2020-09-30,12.72,
Armenia,ARM,2020-10-31,71.71,
Armenia,ARM,2020-11-30,161.57,
Armenia,ARM,2020-12-31,78.76,
Armenia,ARM,2021-01-31,13.25,
Armenia,ARM,2021-02-28,1.59,
Armenia,ARM,2021-03-31,15.77,
Armenia,ARM,2021-04-30,51.37,
Armenia,ARM,2021-05-31,16.79,
Armenia,ARM,2021-06-30,10.19,
Armenia,ARM,2021-07-31,4.43,
Armenia,ARM,2021-08-31,7.57,
Aruba,ABW,2020-01-31,15,
Aruba,ABW,2020-02-29,-6.35,
Aruba,ABW,2020-03-31,22.92,
Aruba,ABW,2020-04-30,-2.6,
Aruba,ABW,2020-05-31,-27.02,
Aruba,ABW,2020-06-30,10.7,
Aruba,ABW,2020-07-31,-17.25,
Aruba,ABW,2020-08-31,9.37,
Aruba,ABW,2020-09-30,52.99,
Aruba,ABW,2020-10-31,23.26,
Aruba,ABW,2020-11-30,-6.56,
Aruba,ABW,2020-12-31,-9.52,
Australia,AUS,2020-01-05,0.47,
Australia,AUS,2020-01-12,1.33,
Australia,AUS,2020-01-19,2.05,
Australia,AUS,2020-01-26,7.06,
Australia,AUS,2020-02-02,2.91,
Australia,AUS,2020-02-09,3.71,
Australia,AUS,2020-02-16,6.68,
Australia,AUS,2020-02-23,5.74,
Australia,AUS,2020-03-01,8.37,
Australia,AUS,2020-03-08,3.54,
Australia,AUS,2020-03-15,4.89,
Australia,AUS,2020-03-22,7.64,
Australia,AUS,2020-03-29,10.62,
Australia,AUS,2020-04-05,13.55,
Australia,AUS,2020-04-12,8.79,
Australia,AUS,2020-04-19,4.02,
Australia,AUS,2020-04-26,5.84,
Australia,AUS,2020-05-03,2.3,
Australia,AUS,2020-05-10,3.51,
Australia,AUS,2020-05-17,-0.88,
Australia,AUS,2020-05-24,0.66,
Australia,AUS,2020-05-31,-0.54,
Australia,AUS,2020-06-07,-4.2,
Australia,AUS,2020-06-14,-2.87,
Australia,AUS,2020-06-21,-5.98,
Australia,AUS,2020-06-28,-7.29,
Australia,AUS,2020-07-05,-6.43,
Australia,AUS,2020-07-12,-5.25,
Australia,AUS,2020-07-19,-7.94,
Australia,AUS,2020-07-26,-4.5,
Australia,AUS,2020-08-02,-1.91,
Australia,AUS,2020-08-09,-2.47,
